,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,id,host_name,host_response_time,host_response_rate,host_is_superhost,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
82,Apt Quarto e Sala amplo Laranjeiras,Apartment,Entire home/apt,Real Bed,5,1125,flexible,4,1.0,4.0,0,1.0,701.0,10596036,Marianna,,,0,,,,,,,
83,Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,Entire home/apt,Real Bed,3,25,moderate,2,1.0,1.0,18,1.0,72.0,1067052,Sherri,within a day,100.0,1,10.0,9.0,10.0,10.0,10.0,10.0,96.0
84,Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,Real Bed,4,1125,flexible,3,1.0,1.0,0,1.0,298.0,10431455,Tamara,,,0,,,,,,,
85,Greenwich Fun and Luxury,House,Entire home/apt,Real Bed,5,1125,flexible,6,4.0,4.0,0,4.0,999.0,10459480,Craig,within a day,100.0,0,,,,,,,
86,Cheerful new renovated central apt,Apartment,Entire home/apt,Real Bed,3,1125,moderate,8,3.0,4.0,77,1.0,264.0,10486984,Aybike,within an hour,100.0,0,9.0,9.0,10.0,10.0,9.0,9.0,94.0
87,Lovely ap at Leblon beach,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,5,3.0,3.0,1,3.0,298.0,10648267,Sonia,within a day,80.0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
88,"Cozy, dreamy Mile End apartment",Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,30.0,10675315,Uma,,,0,,,,,,,
89,Room For Erasmus,Apartment,Private room,Real Bed,1,1125,flexible,2,2.0,2.0,1,1.0,37.0,10354347,Kemal,within a day,100.0,0,,,,,,,
90,Quarto Taquara - Jacarepaguá,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,1,1.0,101.0,10383490,Luana,a few days or more,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
91,Ribeira Smart Flat,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,6,3.0,3.0,132,1.0,80.0,10628126,Mathieu,within an hour,100.0,0,10.0,10.0,10.0,10.0,10.0,9.0,92.0
92,"Kadiköy, Moda, close to transports",Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,1.0,137.0,10639317,Bertille,,,0,,,,,,,
93,Sun filled comfortable apartment,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,2,1.0,85.0,10552362,Harry,,,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
94,BBC OPORTO 4X2,Apartment,Entire home/apt,Real Bed,3,1125,flexible,8,4.0,8.0,71,2.0,100.0,1036027,Cristina,within an hour,100.0,0,9.0,9.0,10.0,10.0,9.0,9.0,88.0
95,Best location 1BR Apt in HK - Shops & Sights,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,4,1.0,2.0,145,1.0,997.0,10343118,Simon,within an hour,98.0,0,10.0,10.0,10.0,10.0,10.0,9.0,94.0
96,Suíte em local tranquilo e seguro,House,Private room,Real Bed,1,1125,moderate,1,1.0,1.0,0,1.0,101.0,10324377,Renato,within an hour,100.0,0,,,,,,,
97,March 2019 availability! Oceanview on Sugar Beach!,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,1.0,3.0,19,1.0,229.0,1042446,Gage,within an hour,100.0,0,10.0,9.0,10.0,10.0,10.0,9.0,94.0
98,Cozy apartment 3 mins TAIWAI Subway,Apartment,Entire home/apt,Real Bed,7,365,flexible,5,2.0,2.0,0,2.0,801.0,10624493,Naomi,,,0,,,,,,,
99,(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,11,1.0,112.0,10415637,Rafael,within a few hours,100.0,0,10.0,10.0,10.0,10.0,10.0,10.0,98.0
100,位於深水埗地鐵站的溫馨公寓,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,18,1.0,353.0,10527212,Aaron,,,0,8.0,7.0,8.0,7.0,8.0,8.0,71.0
101,Charming Spacious Park Slope Studio,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,3,0.0,0.0,115,1.0,135.0,10573225,Ildiko,within a day,93.0,1,10.0,10.0,10.0,10.0,10.0,10.0,98.0
102,Relaxing and Roomy in Crown Heights,Apartment,Private room,Real Bed,2,45,moderate,2,1.0,1.0,46,1.0,50.0,1068505,Rachael,within a day,100.0,1,10.0,10.0,10.0,10.0,10.0,9.0,96.0
